STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/9/18,17.22,",,W",0,"T,,W,2400",,,0,"T,,W",0,",,W",42,"H,,S",45,",,W",30,",,W",,,260,",,W",270,",,W",31.1,",,W",36.9,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/10/18,6.04,",,W",0,",,W,2400",,,0,",,W",0,",,W",35,"H,,S",49,",,W",26,",,W",,,50,",,W",50,",,W",15,",,W",17,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/11/18,5.82,",,W",0,",,W,2400",,,0,",,W",0,",,W",38,"H,,S",55,",,W",29,",,W",,,70,",,W",50,",,W",10.1,",,W",13,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/12/18,9.17,",,W",0,",,W,2400",,,0,",,W",0,",,W",43,"H,,S",59,",,W",32,",,W",,,70,",,W",80,",,W",15,",,W",19,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/13/18,12.3,",,W",0.01,",,W,2400",,,0,",,W",0,",,W",48,"H,,S",63,",,W",38,",,W",,,70,",,W",70,",,W",19.9,",,W",23.9,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/14/18,7.16,",,W",0.19,",,W,2400",,,0,",,W",0,",,W",47,"H,,S",45,",,W",37,",,W",,,210,",,W",220,",,W",19.9,",,W",23.9,",,W",1,",,W",,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/15/18,5.59,",,W",0,",,W,2400",,,0,",,W",0,",,W",39,"H,,S",42,",,W",33,",,W",,,230,",,W",230,",,W",15,",,W",17,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/16/18,4.92,",,W",0,",,W,2400",,,0,",,W",0,",,W",38,"H,,S",53,",,W",29,",,W",,,220,",,W",220,",,W",21,",,W",23.9,",,W",1,",,W",,,,,,,,,,,,,1,",,W",,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/17/18,3.36,",,W",0.16,",,W,2400",,,0,",,W",0,",,W",39,"H,,S",48,",,W",33,",,W",,,210,",,W",190,",,W",13,",,W",21.9,",,W",1,",,W",,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/18/18,12.75,",,W",0.01,",,W,2400",,,0,",,W",0,",,W",40,"H,,S",48,",,W",34,",,W",,,220,",,W",220,",,W",19.9,",,W",23.9,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/19/18,8.05,",,W",0,",,W,2400",,,0,",,W",0,",,W",40,"H,,S",50,",,W",30,",,W",,,220,",,W",220,",,W",18.1,",,W",23,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/20/18,8.95,",,W",0,",,W,2400",,,0,",,W",0,",,W",40,"H,,S",51,",,W",31,",,W",,,240,",,W",210,",,W",19.9,",,W",28,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/21/18,8.28,",,W",0,"T,,W,2400",,,0,",,W",0,",,W",41,"H,,S",52,",,W",32,",,W",,,70,",,W",130,",,W",15,",,W",19,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/22/18,12.53,",,W",0.22,",,W,2400",,,0,",,W",0,",,W",47,"H,,S",53,",,W",33,",,W",,,220,",,W",210,",,W",36,",,W",46.1,",,W",1,",,W",,,1,",,W",,,,,,,,,1,",,W",,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/23/18,11.86,",,W",0,"T,,W,2400",,,0,"T,,W",0,",,W",38,"H,,S",47,",,W",29,",,W",,,220,",,W",200,",,W",31.1,",,W",38.9,",,W",1,",,W",,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/24/18,12.97,",,W",0.26,",,W,2400",,,2.7,",,W",1.2,",,W",36,"H,,S",44,",,W",31,",,W",,,220,",,W",220,",,W",32,",,W",38.9,",,W",1,",,W",,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/25/18,8.28,",,W",0.01,",,W,2400",,,0,"T,,W",0,",,W",36,"H,,S",45,",,W",28,",,W",,,250,",,W",,,18.1,",,W",,,,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/26/18,14.54,",,W",0,"T,,W,2400",,,0,",,W",0,",,W",36,"H,,S",41,",,W",28,",,W",,,230,",,W",240,",,W",23.9,",,W",27.1,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/27/18,18.34,",,W",0,",,W,2400",,,0,",,W",0,",,W",41,"H,,S",56,",,W",37,",,W",,,240,",,W",240,",,W",31.1,",,W",42.1,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/28/18,10.51,",,W",0,",,W,2400",,,0,",,W",0,",,W",44,"H,,S",55,",,W",33,",,W",,,260,",,W",240,",,W",21.9,",,W",34,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/29/18,9.62,",,W",0,"T,,W,2400",,,0,",,W",0,",,W",41,"H,,S",53,",,W",29,",,W",,,220,",,W",220,",,W",18.1,",,W",23,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/30/18,13.87,",,W",0,",,W,2400",,,0,",,W",0,",,W",47,"H,,S",60,",,W",39,",,W",,,220,",,W",210,",,W",28,",,W",33.1,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,3/31/18,6.71,",,W",0,",,W,2400",,,0,",,W",0,",,W",45,"H,,S",50,",,W",33,",,W",,,350,",,W",350,",,W",14.1,",,W",17,",,W",,,,,,,,,,,,,,,,,,
USW00024157,"SPOKANE INTERNATIONAL AIRPORT, WA US",47.6216,-117.528,717.2,4/1/18,15.66,",,W",0,"T,,W,2400",,,0,"T,,W",0,",,W",40,"H,,S",48,",,W",32,",,W",,,220,",,W",230,",,W",30,",,W",36.9,",,W",1,",,W",,,,,,,,,,,,,,,,
